tracked_name,cspan_person_id,reviewed_candidate_name,review_reason
Donald Trump,20967,Donald J. Trump,Reviewed C-SPAN person page candidate from targeted audit
Mike Johnson,106095,Mike Johnson,Reviewed C-SPAN person page candidate from targeted audit
Steven Cheung,140359,Steven Cheung,Reviewed C-SPAN person page candidate from targeted audit
Shannon Bird,149118,Shannon Bird,Reviewed exact-name C-SPAN candidate page from targeted audit; title is U.S. Representative Candidate and tracked role is CO-08.
